Iterasyon,0_PSO_Klasik,Fly_Kör_Yok_Sabit,Fly_Kör_Yok_Yorulan,Fly_Kör_Yan_Lob_Sabit,Fly_Kör_Yan_Lob_Yorulan,Fly_Kör_Ana_Lob_Sabit,Fly_Kör_Ana_Lob_Yorulan,Fly_Anlık_Yok_Sabit,Fly_Anlık_Yok_Yorulan,Fly_Anlık_Yan_Lob_Sabit,Fly_Anlık_Yan_Lob_Yorulan,Fly_Anlık_Ana_Lob_Sabit,Fly_Anlık_Ana_Lob_Yorulan,Fly_Hafızalı_Yok_Sabit,Fly_Hafızalı_Yok_Yorulan,Fly_Hafızalı_Yan_Lob_Sabit,Fly_Hafızalı_Yan_Lob_Yorulan,Fly_Hafızalı_Ana_Lob_Sabit,Fly_Hafızalı_Ana_Lob_Yorulan
40,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.052227020263671875,0.084228515625,1.0311088562011719,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
41,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.052227020263671875,0.084228515625,1.0311088562011719,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
42,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.052227020263671875,0.084228515625,1.0311088562011719,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
43,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.052227020263671875,0.084228515625,1.0311088562011719,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
44,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.052227020263671875,0.084228515625,1.0311088562011719,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
45,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.052227020263671875,0.084228515625,1.0311088562011719,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
46,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.05059814453125,0.084228515625,1.0311088562011719,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
47,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.05059814453125,0.084228515625,1.0311088562011719,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
48,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.05059814453125,0.084228515625,1.0311088562011719,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
49,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.05059814453125,0.084228515625,1.0311088562011719,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
